Course Code,Course Name
ACT 2301 A,Principles of Accounting I
ACT 2301 B,Principles of Accounting I
ACT 2302 A,Principles of Accounting II
ACT 2302 B,Principles of Accounting II
ACT 4301,Intermediate Accounting I
ACT 4310,Cost/Managerial Accounting
ART 2305 A,Introduction to Theater
ART 2305 B,Introduction to Theater
ART 2305 C,Introduction to Theater
ART 2305 D,Introduction to Theater
ASC 4314,Life Contingencies I
BIO 1401 A,Principles of Biology I
BIO 1401 B,Principles of Biology I
BIO 1402 A,Principles of Biology II
BIO 1402 B,Principles of Biology II
BUS 2305 A,Business Law
BUS 2305 B,Business Law
BUS 3300 A,Globalization and Business Practice
BUS 3300 B,Globalization and Business Practice
BUS 3301,Quant Methods for Business Mgt
BUS 3320 A,Business Ethics
BUS 3320 B,Business Ethics
BUS 4398,Internship
BUS 4398 B,Internship
CCE 4401 A,Intensive English Program
CHE 1401 A,Principles of Chemistry I
CHE 1402 A,Principles of Chemistry II
CIS 2301 A,Intro to Comp-based Info Systems
CIS 2301 B,Intro to Comp-based Info Systems
CIS 3301,Managing IT Projects
CIS 3305,Advanced Spreadsheets
CIS 3310,System Analysis
CIS 3322,Management of Information Services
CIS 3325,Database Management Systems
CIS 4301,Info System Infrastruct & Netwk
CIS 4305,Introduction to Business Intel
CIS 4310,Enterprise Applications Development
CIS 4398,Internship
CIS 4499,Syst Devpt Project (Capstone)
COM 1300 A,Human Communication
COM 1300 B,Human Communication
COM 2301 A,Technical Communication
COM 2301 B,Technical Communication
COM 2301 C,Technical Communication
COM 2305 A,Media Culture and Society
COM 2305 B,Media Culture and Society
CSC 1300 A,Computers and Applications
CSC 2300 A,Principles of Computer Science
CSC 2300 B,Principles of Computer Science
CSC 2300 C,Principles of Computer Science
CSC 2301 A,Principles of Computer Programming
CSC 2301 B,Principles of Computer Programming
CSC 3300,Computer Organization & Programming
CSC 3301,Operating Systems and Networking
CSC 3302,Data Structures
CSC 4300,Computer Architecture
CSC 4302,Wireless Network Systems Administr
CSC 4303,Programming Language Concepts
CSC 4305,Software Engineering
CSC 4306,Design & Analysis of Algorithms
CSC 4307,Database Systems
CSC 4312,Information Security
CSC 4315,Artificial Intelligence
CSC 4316,Web Programming
CSC 4317,Interactive Application Design
CSC 4318,Advanced Network Com & Security
CSC 4319,Advanced Database Administration
CSC 4333,Internship
CSC 4499,Senior Capstone Project
DSC 2301,Principles of Data Science
DSC 2302,R Programming for Data Science
DSC 3300,Data Warehousing
DSC 3301,Introduction to Machine Learning
DSC 4305,Data Analytics
DSC 4320,Computer Graphics and Data Visualiz
DSC 4333,Internship
DSC 4499,Capstone
ECO 2301 A,Principles of Macroeconomics
ECO 2301 B,Principles of Macroeconomics
ECO 2302 A,Principles of Microeconomics
ECO 2302 B,Principles of Microeconomics
ECO 3301,Intermediate Macroeconomics
ECO 3302,Intermediate Microeconomics
ECO 3305,Financial Markets & the Macro Econ.
ECO 3310,Game Theory & Economic Behavior
ECO 4326,Economic Development of Africa
ECO 4335,International Trade
ECO 4347,Research Methodology
ECO 4499,Capstone in Economics
ENG 1301 A,English Composition I
ENG 1301 B,English Composition I
ENG 1301 C,English Composition I
ENG 1301 D,English Composition I
ENG 1302 A,English Composition II
ENG 1302 B,English Composition II
ENG 1302 C,English Composition II
ENG 1302 D,English Composition II
ENG 1302 E,English Composition II
ENV 1401 A,Environmental Science I
ENV 1401 B,Environmental Science I
ENV 1402 A,Environmental Science II
ENV 1402 B,Environmental Science II
FIN 3305 A,Corporate Finance
FIN 3305 B,Corporate Finance
FIN 4301,Fundamentals of Valuation I
FIN 4302,Fundamentals of Valuation II
FIN 4305,Fin Anal & Intro to Loan Struct
FIN 4307,Foundation in International Finance
FIN 4315,Advanced Corporate Finance
FIN 4317,Venture Capital & Entrepr Finance
HIS 1305 A,Intro African & African-Amer Hist
HIS 1305 C,Intro African & African-Amer Hist
HIS 1305 D,Intro African & African-Amer Hist
HIS 2305 A,Survey of United States History
HIS 2305 B,Survey of United States History
HIS 2305 C,Survey of United States History
HUM 2310,Afro Futurism: Re-imagining Africa
MET 1364,Materials and Processes I
MET 2354,Introduction to Mechanics
MET 3118,Fluid Mechanics Applications Lab
MET 3155,Strength of Materials Lab
MET 3318,Fluid Mechanics Applications
MET 3331,Applied Thermodynamics
MET 3340,Engineering Graphics and CAD
MET 3342,Elements of Plant Design
MET 3355,Strength of Materials
MET 3358,Dynamics of Mechanisms
MET 3360,Auto Manufacturing Systems
MET 3362,Industrial Work Measurement
MET 3365,Computer-Aided Design I
MET 3367,Quality Control Technology
MET 4172,Materials Technology Lab
MET 4188,Ethics in Engineering Technology
MET 4328,Fundamentals of Pipeline Design
MET 4332,Fund of Drilling Technology
MET 4337,Downhole Drilling Tools/Technology
MET 4341,Materials Selection and Management
MET 4365,Computer-Aided Design II
MET 4372,Materials Technology
MET 4384,Manufacturing Systems Control
MET 4398,Internship
MET 4398 B,Internship
MET 4499,Capstone
MGS 3301 A,Principles of Management
MGS 3301 B,Principles of Management
MGS 3305 A,Business & Entrepreneurship
MGS 3305 B,Business & Entrepreneurship
MGS 3310 A,Business Analysis
MGS 3310 B,Business Analysis
MGS 3315 A,Organizational Behavior
MGS 3315 B,Organizational Behavior
MGS 4301,Managerial Decision Making
MGS 4305,Analysis of Business Data
MGS 4310 A,Managing Human Resources
MGS 4310 B,Managing Human Resources
MGS 4315 A,Principles of Leadership
MGS 4315 B,Principles of Leadership
MGS 4320,Small Business Management
MGS 4325 A,Operations Management
MGS 4325 B,Operations Management
MGS 4329,Corporate Entrepreneurship
MGS 4499 A,Capstone
MGS 4499 B,Capstone
MKT 3301 A,Principles of Marketing
MKT 3301 B,Principles of Marketing
MKT 3305,Consumer/Buyer Behavior
MKT 3310,Advertising and Public Relations
MKT 3315,Sales Management
MKT 4310,Marketing Management
MKT 4315,International Marketing
MKT 4318,Marketing for Entrepreneurs
MTH 1300 A,Statistics I
MTH 1300 B,Statistics I
MTH 1300 C,Statistics I
MTH 1301 A,College Algebra
